ID,NUTS_NAME
IS00,Ísland
ITC1,Piemonte
ITC2,Valle d'Aosta/Vallée d'Aoste
ITC3,Liguria
ITC4,Lombardia
ITF1,Abruzzo
ITF2,Molise
ITF3,Campania
ITF4,Puglia
ITF5,Basilicata
ITF6,Calabria
ITG1,Sicilia
TR52,"Konya, Karaman"
TR61,"Antalya, Isparta, Burdur"
TR62,"Adana, Mersin"
TR63,"Hatay, Kahramanmaras, Osmaniye"
TR71,"Kirikkale, Aksaray, Nigde, Nevsehir, Kirsehir"
TR72,"Kayseri, Sivas, Yozgat"
TR83,"Samsun, Tokat, Çorum, Amasya"
TR90,Trabzon
TRA1,"Erzurum, Erzincan, Bayburt"
TRA2,"Agri, Kars, Igdir, Ardahan"
TRB1,"Malatya, Elazig, Bingöl, Tunceli"
TRB2,"Van, Mus, Bitlis, Hakkari"
TRC1,"Gaziantep, Adiyaman, Kilis"
TRC2,"Sanliurfa, Diyarbakir"
UKI7,Outer London - West and North West
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire"
UKJ2,"Surrey, East and West Sussex"
UKJ3,Hampshire and Isle of Wight
UKJ4,Kent
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area"
UKK2,Dorset and Somerset
UKK3,Cornwall and Isles of Scilly
UKK4,Devon
EL61,Θεσσαλία
EL62,Ιόνια Νησιά
EL63,Δυτική Ελλάδα
EL64,Στερεά Ελλάδα
EL65,Πελοπόννησος
ES11,Galicia
ES12,Principado de Asturias
ES13,Cantabria
ES21,País Vasco
ES22,Comunidad Foral de Navarra
ES23,La Rioja
ES24,Aragón
ES30,Comunidad de Madrid
ES41,Castilla y León
ES42,Castilla-La Mancha
ES43,Extremadura
ES51,Cataluña
ES52,Comunidad Valenciana
ES53,Illes Balears
ES61,Andalucía
ES62,Región de Murcia
ES63,Ciudad Autónoma de Ceuta
ES64,Ciudad Autónoma de Melilla
ES70,Canarias
FI19,Länsi-Suomi
FI1B,Helsinki-Uusimaa
FI1C,Etelä-Suomi
FI1D,Pohjois- ja Itä-Suomi
FI20,Åland
FR10,Ile-de-France
FRB0,Centre - Val de Loire
FRC1,Bourgogne
FRC2,Franche-Comté
FRD1,Basse-Normandie
FRD2,Haute-Normandie
FRE1,Nord-Pas de Calais
FRE2,Picardie
FRF1,Alsace
FRF2,Champagne-Ardenne
FRF3,Lorraine
FRG0,Pays de la Loire
UKL2,East Wales
UKM5,North Eastern Scotland
UKM6,Highlands and Islands
UKM7,Eastern Scotland
UKM8,West Central Scotland
UKM9,Southern Scotland
TRC3,"Mardin, Batman, Sirnak, Siirt"
UKC1,Tees Valley and Durham
UKC2,Northumberland and Tyne and Wear
UKD1,Cumbria
UKD3,Greater Manchester
UKD4,Lancashire
UKD6,Cheshire
UKD7,Merseyside
UKE1,East Yorkshire and Northern Lincolnshire
UKE2,North Yorkshire
UKE3,South Yorkshire
PT16,Centro (PT)
PT17,Área Metropolitana de Lisboa
PT18,Alentejo
PT20,Região Autónoma dos Açores
PT30,Região Autónoma da Madeira
RO11,Nord-Vest
RO12,Centru
RO21,Nord-Est
RO22,Sud-Est
RO31,Sud - Muntenia
RO32,Bucureşti - Ilfov
RO41,Sud-Vest Oltenia
RO42,Vest
RS11,Београдски регион
RS12,Регион Војводине
RS21,Регион Шумадије и Западне Србије
RS22,Регион Јужне и Источне Србије
SE11,Stockholm
SE12,Östra Mellansverige
SE21,Småland med öarna
SE22,Sydsverige
SE23,Västsverige
SE31,Norra Mellansverige
SE32,Mellersta Norrland
SE33,Övre Norrland
SI03,Vzhodna Slovenija
SI04,Zahodna Slovenija
SK01,Bratislavský kraj
SK02,Západné Slovensko
SK03,Stredné Slovensko
SK04,Východné Slovensko
TR10,Istanbul
TR21,"Tekirdag, Edirne, Kirklareli"
TR22,"Balikesir, Çanakkale"
TR31,Izmir
TR32,"Aydin, Denizli, Mugla"
TR33,"Manisa, Afyonkarahisar, Kütahya, Usak"
TR41,"Bursa, Eskisehir, Bilecik"
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova"
TR51,Ankara
UKE4,West Yorkshire
UKF1,Derbyshire and Nottinghamshire
UKF2,"Leicestershire, Rutland and Northamptonshire"
UKF3,Lincolnshire
UKG1,"Herefordshire, Worcestershire and Warwickshire"
UKG2,Shropshire and Staffordshire
UKG3,West Midlands
UKH1,East Anglia
UKH2,Bedfordshire and Hertfordshire
UKH3,Essex
UKI3,Inner London - West
UKI4,Inner London - East
UKI5,Outer London - East and North East
UKI6,Outer London - South
NL12,Friesland (NL)
NL13,Drenthe
NL21,Overijssel
NL22,Gelderland
NL23,Flevoland
NL31,Utrecht
NL32,Noord-Holland
NL33,Zuid-Holland
NL34,Zeeland
NL41,Noord-Brabant
NL42,Limburg (NL)
NO01,Oslo og Akershus
NO02,Hedmark og Oppland
NO03,Sør-Østlandet
NO04,Agder og Rogaland
NO05,Vestlandet
NO06,Trøndelag
PL21,Małopolskie
PL22,Śląskie
PL41,Wielkopolskie
PL42,Zachodniopomorskie
PL43,Lubuskie
PL51,Dolnośląskie
PL52,Opolskie
PL61,Kujawsko-pomorskie
PL62,Warmińsko-mazurskie
NO07,Nord-Norge
PL63,Pomorskie
PL71,Łódzkie
PL72,Świętokrzyskie
PL81,Lubelskie
PL82,Podkarpackie
PL84,Podlaskie
PL91,Warszawski stołeczny
PL92,Mazowiecki regionalny
PT11,Norte
PT15,Algarve
UKN0,Northern Ireland
UKL1,West Wales and The Valleys
